155,207,94,90,215,189,-13,10024,-1,-19,-15,1,1,-1,376,346,348,453
155,209,94,90,213,202,-10,10027,-1,-19,-15,1,1,-1,374,344,348,453
164,208,98,97,214,222,-306,10083,-1,-19,-16,1,1,-1,377,349,344,450
158,206,101,101,216,212,10,9987,-1,-20,-15,1,1,-1,377,348,345,453
155,207,102,94,215,186,-5,10018,-1,-20,-15,1,1,-1,374,344,348,454
164,209,98,96,214,175,-8,10048,-1,-20,-15,1,1,-1,377,347,344,452
155,207,95,94,215,230,-17,10048,-1,-20,-15,2,1,-1,374,346,348,454
164,208,103,100,217,218,-9,9966,-1,-20,-15,1,1,-1,376,346,348,455
154,208,98,96,217,212,-11,10042,-1,-20,-15,1,1,-1,377,346,345,453
161,205,101,101,213,212,-8,10034,-1,-20,-15,1,1,-1,377,349,344,450
154,207,103,97,214,198,-3,10109,-1,-20,-15,1,0,-1,377,349,348,453
164,208,94,90,216,186,-13,10003,-1,-20,-15,1,1,-1,377,348,346,451
154,206,101,100,215,150,17,10039,-1,-20,-15,1,1,-1,378,346,348,455
158,206,101,101,216,180,4,10029,-1,-20,-15,2,1,-1,377,349,345,455
154,207,102,95,217,187,-1,10028,-1,-19,-15,2,1,-1,376,346,348,455
154,206,101,100,217,198,-2,9925,-1,-19,-15,1,1,-1,378,348,348,453
155,207,95,94,215,196,-14,10055,-2,-19,-15,2,1,-1,376,344,348,452
154,207,102,98,217,208,-14,10070,-1,-19,-15,1,1,-1,375,346,348,455
161,212,94,90,215,232,-8,10040,-1,-19,-15,2,1,-1,376,347,346,454
154,207,102,95,217,210,-13,9940,-1,-19,-15,1,0,0,378,346,348,452
155,209,97,101,214,236,2,10101,-1,-20,-15,1,1,-1,380,349,348,455
159,208,91,101,216,178,-9,10037,-1,-20,-15,2,0,-1,379,346,346,454
158,206,101,101,215,193,-4,10033,-1,-20,-15,1,1,-1,376,346,348,455
164,205,101,100,215,223,-1,10033,-1,-20,-15,1,1,-1,378,349,346,451
164,208,101,101,214,206,-7,10127,-1,-20,-15,1,1,0,380,349,345,455
161,205,98,90,215,184,-19,10016,-1,-20,-15,1,1,0,377,347,346,454
154,206,101,100,217,199,-2,10048,-2,-20,-15,1,1,-1,378,346,348,452
161,209,94,90,215,221,-13,10058,-2,-20,-15,1,1,0,376,346,348,452
154,207,102,95,220,214,-1,10157,0,-19,-15,1,1,-1,374,346,348,455
161,212,94,90,215,223,-17,9968,-1,-20,-15,1,1,0,376,347,346,454
