28,0,255
22,0,255
17,0,255
11,0,255
5,0,255
0,0,255
0,10,255
0,20,255
0,30,255
0,40,255
0,51,255
0,61,255
0,71,255
0,81,255
0,91,255
0,102,255
0,112,255
0,122,255
0,132,255
0,142,255
0,153,255
0,163,255
0,173,255
0,183,255
0,193,255
0,204,255
0,214,255
0,224,255
0,234,255
0,244,255
0,255,255
0,255,229
0,255,204
0,255,178
0,255,153
0,255,127
0,255,102
0,255,76
0,255,51
0,255,25
0,255,0
7,255,0
14,255,0
21,255,0
29,255,0
36,255,0
43,255,0
51,255,0
58,255,0
65,255,0
72,255,0
80,255,0
87,255,0
94,255,0
102,255,0
109,255,0
116,255,0
123,255,0
131,255,0
138,255,0
145,255,0
153,255,0
160,255,0
167,255,0
174,255,0
182,255,0
189,255,0
196,255,0
204,255,0
211,255,0
218,255,0
225,255,0
233,255,0
240,255,0
247,255,0
255,255,0
255,247,0
255,239,0
255,231,0
255,223,0
255,215,0
255,207,0
255,200,0
255,192,0
255,184,0
255,176,0
255,168,0
255,160,0
255,153,0
255,145,0
255,137,0
255,129,0
255,121,0
255,113,0
255,105,0
255,98,0
255,90,0
255,82,0
255,74,0
255,66,0
